booking_date	checkin_date	country	city	hotel_segment	room_type	nights	num_guests	breakfast_included	price_per_night	total_price
2024-05-29	2024-06-14	UK	Edinburgh	Leisure	Standard	3	1	0.0	59.34	178.02
2024-11-06	2024-11-27	Italy	Milan	Leisure	Standard	5	2	0.0	102.91	514.53
2024-05-23	2024-07-01	UK	EDINBURGH	Business	Deluxe	1	3	0.0	128.49	128.49
2025-03-22	2025-04-30	Germany	Munich	Leisure	deluxe	12	2	1.0	149.77	1797.23
2024-11-13	2024-12-19	Germany	Hamburg	Leisure	Standard 	13	2	1.0	79.39	1032.11
2024-11-05	2024-12-19	Ireland	Cork	business	family	13	4	1.0	215.61	2802.94
2024-10-22	2024-12-07	Spain	Barcelona	Business	Deluxe	12	4	1.0	149.94	1799.29
2024-08-26	2024-09-04	Germany	Hamburg	Leisure	Standard	4	3	1.0	103.44	413.77
2024-10-26	2024-12-01	UK	London	Business	Family	3	1	0.0	224.76	674.28
2024-10-14	2024-10-17	Ireland	Dublin 	Leisure	Standard	14	2	1.0	85.99	1203.87
2025-02-11	2025-04-01	UK	Manchester		Standard	1	2	1.0	141.56	141.56
2024-10-15	2024-10-24	Italy	florence	Business	Suite	8	3		255.96	2047.68
2024-08-30	2024-10-27	Spain	Barcelona 	LEISURE	Family	4	3	0.0	165.14	660.57
2025-02-16	2025-03-27	Italy	Rome	Conference	Deluxe	4	3	1.0	202.28	809.12
2024-08-01	2024-09-09	Spain	Madrid	Tour Group	Suite 	12	4	1.0	232.63	2791.56
2024-06-23	2024-08-21	germany	Berlin	Conference	Standard	4	3	1.0	92.39	369.58
2024-05-29	2024-06-13	SPAIN	Valencia	Leisure	Deluxe	2	4	1.0	129.49	258.97
2025-04-11	2025-04-30	Germany	Hamburg	 Leisure	Suite	12	1		139.71	1676.52
2025-03-14	2025-04-30	Germany	Hamburg	Leisure	standard	11	1	1.0	104.69	1151.64
2025-03-12	2025-03-18	ireland	Cork	Conference	Suit	1	1	1.0	229.94	229.94
2024-11-22	2025-01-14	Italy	Rome	Leisure	Deluxe	3	3	0.0	135.35	406.05
2024-07-14	2024-08-19	Italy	Rome	Conference	Deluxe	9	3		201.64	1814.72
2024-12-21	2025-01-04	Germany	Munich	Business	deluxe	7	4	0.0	199.33	1395.29
2025-03-09	2025-04-14	Ireland	Dublin	leisure	Family	11	4	0.0	175.61	1931.71
2024-10-16	2024-11-17	Italy	Florence	Business	FAMILY	1	2	0.0	151.72	151.72
2025-02-11	2025-03-31	UK	EDINBURGH 	Conference	Deluxe 	7	3	0.0	166.49	1165.4
2024-07-10	2024-08-29	Spain	 Valencia	Tour Group	Family	6	2	1.0	106.75	640.48
2025-03-28	2025-04-30	Germany	Munich	Leisure	Suite	14	2	1.0	174.0	2436.0
2024-06-10	2024-07-20	Ireland	Cork	Leisure	 Standard 	3	2	0.0	79.03	237.08
2025-04-26	2025-04-30	UK	Manchester	 Business	Suite 	12	4	1.0	200.36	2404.34
2024-09-06	2024-10-15	IRELAND	 Dublin	Tour Group	Family	12	3	1.0	174.7	2096.36
2024-06-23	2024-07-13	UK	Edinburgh	Business	Deluxe	12	3	1.0	182.03	2184.4
2025-04-05	2025-04-18	Ireland	DUBLIN	Leisure	Standard	8	3	1.0	94.09	752.72
2024-09-21	2024-11-01	Uk	Edinburgh	Tour Group	Standard	1	1	1.0	78.6	78.6
2024-08-28	2024-10-26	IRELAND	Dublin 	 Leisure	Deluxe	12	3	1.0	168.78	2025.36
2024-05-31	2024-07-18	Germany	Hamburg	Leisure	Standard	6	3	1.0	99.98	599.86
2024-11-04	2025-01-02	Spain	Valencia	Business	Suite 	4	1	1.0	262.24	1048.95
2024-09-24	2024-11-11	Spain	Madrid	Business	Family	9	1	0.0	203.61	1832.47
2024-07-03	2024-07-03	Ireland	Dublin		Family	2	3	1.0	178.23	356.46
2024-12-21	2025-01-27	Spain	Barcelona	Business	Standard	4	1	1.0	104.14	416.58
2024-05-27	2024-06-13	Spain	Barcelona	Leisure	Suite	1	1	0.0	267.83	267.83
2024-10-01	2024-10-02	UK	Edinburgh	Business	Standard	2	1	1.0	88.53	177.06
2024-12-22	2025-02-12	Germany	Munich	Leisure	Standard	10	4	0.0	138.42	1384.24
2025-01-11	2025-01-21	SPAIN	Barcelona	Leisure	Standard	14	3	1.0	68.83	963.63
2024-12-31	2025-02-07	Italy	Milan	CONFERENCE	Family	4	2	0.0	213.92	855.7
2024-12-30	2025-02-01	UK	Manchester	Leisure	Deluxe	13	1	1.0	173.07	2249.97
2024-09-16	2024-09-29	Ireland	Cork	Leisure	Family	7	2	0.0	135.57	949.0
2024-07-15	2024-08-12	 Germany	Hamburg	Tour Group	Suite	1	3	1.0	278.56	278.56
2024-10-24	2024-12-18	Ireland	Cork	Leisure	Suite	3	3	1.0	290.89	872.68
2024-06-25	2024-07-25	Germany	Berlin	LEISURE	Standard	3	1	1.0	135.31	405.93
2024-12-30	2025-02-20	Germany	Berlin	Business	DELUXE	10	3	1.0	125.04	1250.41
2024-11-09	2024-11-13	Germany	hamburg	Tour Group	Suite	10	3	1.0	266.56	2665.63
2024-05-03	2024-06-06	Ireland	Dublin	Leisure	Deluxe	14	2	1.0	113.84	1593.8
2024-12-26	2025-01-04	Italy	Florence	Leisure	Standard	10	4	1.0	106.35	1063.53
2024-06-26	2024-07-03	UK	London	Conference	Standard	6	4	0.0	102.32	613.93
2025-02-25	2025-03-23	Ireland	Dublin	Conference	Deluxe	7	3	1.0	160.94	1126.55
2025-04-26	2025-04-30	UK	Manchester	Leisure	Family	12	1	0.0	187.22	2246.63
2024-11-11	2024-12-06	Germany	Hamburg	Business	Family	12	1	1.0	192.38	2308.59
2024-05-30	2024-06-16	UK	 London 	Tour Group	Standard	7	4	1.0	59.38	415.68
2024-07-12	2024-08-16	Italy	Rome	Business	Family	7	3	1.0	233.94	1637.6
2024-09-22	2024-10-19	Italy	Milan 	Conference	Family	5	1	1.0	128.92	644.6
2024-10-16	2024-11-22	Spain	Valencia	Conference	Standard	1	3	1.0	129.12	129.12
2024-12-22	2025-02-14	Italy	Florence	Leisure	Deluxe	4	1	0.0	153.07	612.27
2025-04-13	2025-04-30	Spain	Madrid	Business	Family	12	4	0.0	187.37	2248.46
2024-07-19	2024-08-09	Spain	Valencia	Leisure	Deluxe	6	3	0.0	155.01	930.04
2024-08-07	2024-08-28	Spain	Barcelona	Tour Group	Deluxe	14	1	1.0	116.34	1628.69
2025-02-28	2025-04-26	Italy	Rome	Tour Group	Family	10	3	1.0	173.71	1737.06
2024-07-09	2024-08-14	Spain	Madrid	Leisure	Family	9	4	0.0	213.09	1917.79
2024-12-29	2025-01-05	UK	Edinburgh		Standard	4	3	1.0	89.37	357.46
2025-04-03	2025-04-25	Spain	barcelona		Suite 	9	2	1.0	263.65	2372.85
2024-05-18	2024-07-07	Spain	 Valencia	Business	Standard	11	1	0.0	94.04	1034.49
2025-04-21	2025-04-30	UK	 Edinburgh 		Family	14	4	0.0	197.0	2757.96
2024-10-30	2024-12-26	Spain	Valencia		Suite	7	4	1.0	294.65	2062.56
2025-03-26	2025-04-18	UK	London	LEISURE	Deluxe	6	2	1.0	164.52	987.15
2024-07-05	2024-07-14	UK	Manchester	Business	Family	5	3	0.0	153.32	766.6
2024-09-22	2024-10-08	spain	Barcelona	Leisure	Family	3	2		246.53	739.6
2025-03-02	2025-03-19	Ireland	Galway	 Leisure	Suite	8	2	1.0	265.28	2122.27
2024-12-22	2024-12-25	UK	London	Conference	Standard	10	3	0.0	77.4	774.01
2024-08-18	2024-09-20	Ireland	Cork	Business	Family	8	4	1.0	122.19	977.54
2024-12-08	2025-01-01	UK	edinburgh	Leisure	Standard	5	1	1.0	118.02	590.11
2024-11-08	2024-12-31	 UK	MANCHESTER	Leisure	Deluxe	3	1	1.0	117.45	352.36
2025-04-26	2025-04-30	Italy	Rome	Business	Standard	14	2	1.0	118.83	1663.56
2024-07-29	2024-09-25	Germany	Munich	Leisure	Family	3	2	1.0	149.63	448.89
2024-06-19	2024-06-19	UK	Manchester	Conference	Suite	12	3	0.0	276.04	3312.46
2024-12-17	2025-01-11	Ireland	Cork	Business	Family	12	4	0.0	242.05	2904.61
2024-11-01	2024-11-03	Germany	Munich	Leisure	Suite	10	3		199.31	1993.09
2024-11-14	2025-01-01	Germany	Berlin	Leisure	Suite	7	2	1.0	262.89	1840.23
2025-02-03	2025-03-05	Italy	Milan	Leisure	Deluxe	13	2	0.0	136.12	1769.52
2024-06-22	2024-07-22	Germany	Berlin	Tour Group	Standard	9	3	0.0	71.06	639.57
2024-07-05	2024-07-25	Ireland	Galway	 Leisure	Deluxe	4	2	1.0	170.28	681.13
2025-03-27	2025-04-19	UK	Edinburgh 	Leisure	Deluxe	6	2	0.0	109.92	659.52
2025-02-18	2025-04-05	Germany	Munich 	Leisure 	Family	12	4	0.0	154.86	1858.34
2024-07-30	2024-08-27	Ireland	GALWAY	Business	Deluxe	1	3	1.0	150.44	150.44
2024-10-31	2024-11-04	Ireland	Dublin	Business	Suit	4	4	1.0	274.3	1097.21
2025-02-03	2025-02-11	UK	Manchester	Biz	Deluxe	13	4	1.0	126.46	1643.96
2024-11-03	2024-12-04	Germany	Hamburg		Family	12	3		122.74	1472.93
2025-03-01	2025-03-26	Germany	Berlin	Conference	Standard	1	4	1.0	119.4	119.4
2025-04-03	2025-04-30	Spain	Madrid	Leisure	Standard	8	4	1.0	89.01	712.07
2025-03-13	2025-04-30	Germany	Berlin	Leisure	Standard	8	2	1.0	94.48	755.81
2025-04-06	2025-04-30	Italy	Rome	Business	Standard	8	4		89.17	713.35
2024-08-05	2024-09-26	UK	London	Tour Group	Standard	5	2	0.0	99.29	496.47
2025-03-31	2025-04-03	Italy	Florence	Leisure	Family	4	3	1.0	151.97	607.89
2024-06-25	2024-08-22	Italy	florence	Business	Suite	13	1	1.0	262.75	3415.79
2024-12-04	2024-12-17	Spain	barcelona	Tour Group	DELUXE	1	4	1.0	162.03	162.03
2025-02-17	2025-03-24	UK	 Edinburgh	Business	Suite	11	4	1.0	155.2	1707.16
2024-11-06	2024-12-04	Germany	Berlin	Business	Standard	2	2	1.0	91.16	182.32
2025-04-21	2025-04-30	UK	Edinburgh	Leisure	DELUXE	10	1	1.0	98.71	987.06
2025-04-21	2025-04-22	Ireland	Dublin	Leisure 	Deluxe	2	4	1.0	129.25	258.5
2024-11-04	2024-12-17	Italy	Milan	Conference	Suite	6	3	0.0	217.32	1303.94
2025-04-24	2025-04-30	Germany	Munich	Leisure	Family	11	3	0.0	136.89	1505.83
2024-12-20	2025-02-12	Spain	Valencia	Leisure	Suite	1	1	1.0	207.42	207.42
2024-06-20	2024-07-05	Spain	Barcelona	Leisure	Standard	6	2	0.0	99.67	598.01
2024-07-24	2024-07-30	Germany	Hamburg	Tour Group	Suite	10	3	0.0	289.05	2890.53
2024-05-02	2024-06-21	Germany	Berlin	LEISURE	Family	9	1	1.0	167.04	1503.32
2024-05-23	2024-07-08	 Italy	Rome	Leisure	Deluxe	11	2	1.0	136.17	1497.86
2025-02-26	2025-03-24	Germany	Berlin	Leisure	Deluxe	9	1	1.0	164.76	1482.84
2024-08-01	2024-09-13	UK	Edinburgh	Leisure	Suite	2	4	0.0	155.98	311.96
2024-07-21	2024-08-24	Italy	Milan	 Leisure 	Deluxe	11	1	1.0	165.73	1823.08
2024-05-21	2024-06-05	Spain	Valencia	Tour Group	standard	2	1	1.0	89.99	179.98
2024-07-31	2024-08-04	UK	Edinburgh	Leisure	Suite	9	3	0.0	186.83	1681.45
2024-09-28	2024-10-08	Ireland	dublin	Leisure	Standard	7	1	0.0	84.82	593.71
2024-05-13	2024-06-08	spain	Barcelona	LEISURE	Standard	3	1	1.0	110.85	332.55
2024-07-09	2024-08-04	Germany	Hamburg	Business	Deluxe	3	2	0.0	126.99	380.97
2024-08-26	2024-09-22	Ireland	Galway	Tour Group	Standard	8	3	1.0	67.52	540.18
2024-05-23	2024-06-05	Spain	madrid	 Conference 	Standard	14	2	0.0	95.51	1337.19
2024-11-12	2024-12-22	Uk	London	Leisure	Suite	7	3	1.0	204.98	1434.86
2024-09-22	2024-10-07	Italy	Florence		suite	2	3	0.0	294.33	588.66
2024-10-15	2024-12-10	Italy	Florence	Leisure	Deluxe	14	3	1.0	197.33	2762.66
2024-09-01	2024-10-08	Italy	Florence		Deluxe	4	3	0.0	115.92	463.69
2024-05-21	2024-06-29	Italy	Milan	Conference	 Family	1	3	1.0	119.42	119.42
2025-03-01	2025-04-28	Germany	berlin	Conference	Family	8	3	0.0	198.53	1588.24
2025-02-10	2025-02-15	Spain	Madrid	Business	Standard	9	2	0.0	102.77	924.97
2025-03-25	2025-04-30	Germany	Munich	Tour Group	Suite	12	2	1.0	181.45	2177.37
2024-10-08	2024-10-16	Spain	Barcelona	Business	standard	10	4	0.0	71.07	710.73
2024-05-25	2024-05-26	Germany	Berlin	Leisure	Suite	14	4	0.0	172.0	2407.98
2024-05-09	2024-06-12	Germany	Munich	Conference	Suite	4	3	1.0	242.67	970.69
2025-04-29	2025-04-30	Ireland	Dublin	business	Standard	9	1	1.0	135.54	1219.88
2025-03-23	2025-04-01	Germany	Hamburg	 Business 	Family	4	3	1.0	202.31	809.23
2024-12-04	2025-01-16	Italy	Florence	Leisure	Suite	1	2	1.0	235.36	235.36
2024-07-15	2024-08-16	 Germany 	berlin	conference	Deluxe	4	1	1.0	167.98	671.9
2024-11-22	2024-12-21	Spain	Madrid		Deluxe	2	3	1.0	225.03	450.06
2024-12-23	2024-12-23	 Italy 	Milan	Business	Std	12	3	0.0	94.78	1137.42
2024-11-15	2024-12-16	Germany	Hamburg	Tour Group	 Family	2	3	0.0	202.04	404.08
2024-10-28	2024-11-18	Ireland	galway	BUSINESS	Deluxe	8	2	0.0	116.27	930.14
2024-11-11	2025-01-09	 ITALY	Florence	Tour Group	family	6	3	1.0	122.56	735.36
2025-04-07	2025-04-18	UK	Manchester	leisure	Family	2	4	1.0	169.84	339.68
2025-03-09	2025-04-08	Ireland	Galway	Leisure	Family	4	3	0.0	155.24	620.96
2024-10-30	2024-12-21	Italy	Rome	Tour Group	Deluxe	5	2	0.0	113.65	568.23
2024-07-16	2024-08-26	uk	London	Business	Deluxe	11	4	0.0	181.3	1994.29
2024-12-25	2025-02-13	Italy	florence	TOUR GROUP	Family	8	2	0.0	221.76	1774.07
2024-05-11	2024-05-18	Italy	Milan	Leisure	Family	8	4	1.0	158.53	1268.24
2025-03-13	2025-04-30	 Italy	florence	Leisure	deluxe	10	1	0.0	71.94	719.4
2025-01-15	2025-01-19	Ireland	Galway	Leisure	Suite	4	3	1.0	170.76	683.03
2024-06-03	2024-06-25	Ireland	Cork	Leisure	Standard	5	1	0.0	86.7	433.5
2025-04-22	2025-04-30	Ireland	Cork	Business	Family	11	3	1.0	173.25	1905.74
2025-04-23	2025-04-30	Ireland	Galway	Business	Family	3	2	1.0	232.31	696.94
2024-10-11	2024-10-20	GERMANY	Berlin	Leisure	Suite	7	4	1.0	190.58	1334.03
2025-02-22	2025-04-21	UK	 London	Conference	Family	4	4	1.0	187.01	748.05
2024-06-20	2024-07-26	Ireland	Dublin	Business	Deluxe	5	1	1.0	196.2	980.98
2025-01-20	2025-01-30	Italy	Florence	Leisure	Suite	8	4	0.0	201.6	1612.78
2024-06-08	2024-06-28	Germany	Berlin	Conference	Family	9	2	1.0	189.23	1703.05
2025-02-02	2025-02-21	Italy	Milan	Conference	Standard	2	1	1.0	72.17	144.33
2024-05-15	2024-05-23	Ireland	Galway	Business	Standard 	5	3	1.0	77.36	386.79
2024-11-17	2024-11-18	Spain	Valencia	Business	Standard	11	4	1.0	108.61	1194.67
2024-09-01	2024-09-18	UK	London	CONFERENCE	Deluxe	3	1	1.0	106.61	319.82
2024-11-30	2024-12-06	Germany	Berlin	business	Deluxe	3	3	1.0	159.69	479.08
2024-11-08	2024-12-27	UK	London	Business	Family	7	1	0.0	185.59	1299.12
2025-02-07	2025-02-18	Ireland	Cork	Business	Standard	7	4	1.0	146.87	1028.12
2025-04-03	2025-04-30	Spain	Barcelona	Business	Suite	10	1	1.0	270.61	2706.13
2024-07-05	2024-07-31	italy	Milan	Leisure	Family	9	1	1.0	173.05	1557.43
2024-07-26	2024-08-07	Ireland	 Cork 	Leisure	Suite	9	1	1.0	173.13	1558.14
2024-10-02	2024-10-16	UK	London	Conference	STANDARD	12	2	0.0	96.91	1162.87
2024-09-20	2024-10-14	Germany	Munich	Leisure	Family	12	3	1.0	180.82	2169.8
2025-04-26	2025-04-30	UK	Edinburgh	Business	Suite	3	2	1.0	251.84	755.53
2024-05-06	2024-06-03	Germany	berlin	tour group	Deluxe	1	1	0.0	140.9	140.9
2024-06-12	2024-07-05	Italy	Milan	Leisure	Standard	7	3	0.0	128.16	897.11
2025-02-17	2025-03-28	Germany	Munich	Leisure	Suite	11	3	0.0	217.42	2391.57
2024-09-11	2024-10-25	Germany	Berlin	Business	Suite	7	1	1.0	186.45	1305.15
2024-08-09	2024-09-07	Germany	Munich	Leisure	Suite	6	3	0.0	176.45	1058.71
2024-07-11	2024-08-31	Ireland	Dublin	Business	family	8	3	1.0	192.86	1542.89
2024-07-21	2024-09-13	UK	Manchester	Leisure	Suite	2	1	1.0	219.15	438.29
2024-11-10	2024-11-25	UK	Edinburgh	Leisure	Family	10	4	1.0	113.36	1133.57
2024-06-18	2024-08-14	Germany	 Berlin 	Business	Family	4	2	1.0	194.66	778.64
2025-01-25	2025-03-09	Italy	Rome	Business	Family	1	4	1.0	213.6	213.6
2024-09-07	2024-11-02	 Spain	Madrid	Leisure	Suite	6	4	1.0	210.9	1265.41
2024-06-10	2024-06-11	Ireland	Dublin	Leisure	Deluxe	2	4	1.0	160.04	320.07
2024-08-28	2024-09-12	Germany	Hamburg		Deluxe	8	2	1.0	173.35	1386.82
2024-06-17	2024-08-10	Ireland	Dublin	Business	Deluxe	3	1		154.2	462.59
2024-12-26	2025-01-09	Italy	Florence 	Business	Deluxe	6	3	0.0	133.14	798.86
2024-09-10	2024-10-21	Spain	Madrid	Business	Standard	8	2	0.0	120.65	965.22
2024-10-27	2024-12-21	UK	 Edinburgh 	Conference	Suite	12	1	1.0	156.77	1881.25
2024-12-22	2025-02-12	Ireland	Cork	Leisure	Suite	1	1	1.0	225.85	225.85
2024-10-05	2024-11-24	Spain	valencia	Leisure	Family	9	4	1.0	170.96	1538.61
2024-10-28	2024-11-01	Spain	Madrid	Leisure	Suite	1	1	0.0	261.87	261.87
2024-08-02	2024-09-10	Spain	Madrid	Leisure	Family	9	3	0.0	186.85	1681.65
2024-07-11	2024-07-21	 Italy	Milan 	Leisure	Suite	10	4	0.0	223.42	2234.24
2024-11-22	2024-11-25	Germany	munich	Leisure	Family	9	2	1.0	196.59	1769.35
2024-09-29	2024-11-04	Germany	Munich	Tour Group	Suite	6	4	0.0	205.73	1234.4
2024-12-06	2024-12-09	ireland	Cork	Leisure	Deluxe	4	2	0.0	142.44	569.78
2024-05-14	2024-06-18	Ireland	Cork	Leisure	Standard	14	3	1.0	103.71	1451.87
2025-02-18	2025-03-03	IRELAND	Cork	Conference	Family	12	3	1.0	198.32	2379.87
2024-07-06	2024-08-17	Italy	Milan	Leisure	Standard	3	3	0.0	49.07	147.2
2024-11-22	2024-12-24	Ireland	Dublin	Business	Standard	8	1	0.0	99.26	794.11
2024-08-19	2024-10-12	 GERMANY	Munich	Conference	Standard	4	3	0.0	101.24	404.97
2025-02-08	2025-04-04	Germany	Hamburg	Leisure	Family	8	4	1.0	172.62	1380.94
2024-06-06	2024-07-10	UK	Manchester	Business	Deluxe	6	4	1.0	133.9	803.41
2025-03-10	2025-03-19	Ireland	Galway 	Business	Deluxe	9	4	0.0	144.31	1298.75
2025-04-15	2025-04-30	Italy	Rome	Business	Deluxe	3	3	0.0	108.61	325.84
2025-04-02	2025-04-18	Spain	Madrid 	Leisure	Suite	3	2	0.0	263.77	791.3
2025-03-26	2025-04-30	Italy	Rome	Leisure	Family	10	4	1.0	110.77	1107.72
2024-08-15	2024-08-25	UK	Manchester	Leisure	Family	12	3	0.0	131.47	1577.67
2025-04-24	2025-04-30	Spain	Madrid	Business	Suit	10	2	0.0	229.59	2295.85
2024-08-16	2024-09-02	Germany	Berlin	Business	Suite	5	3	1.0	221.06	1105.29
2024-10-09	2024-11-15	Italy	 Milan 	Leisure	Family	3	1	1.0	161.25	483.74
2025-01-23	2025-02-01	Italy	Rome		Standard	12	3	1.0	77.87	934.48
2024-10-19	2024-12-03	Germany	Hamburg	Leisure	Standard	13	2		69.67	905.73
2024-09-21	2024-10-19	Italy	Florence 	Business	Standard	13	2	1.0	117.83	1531.84
2024-06-18	2024-08-08	Germany	Munich	Leisure	Deluxe	5	1	1.0	143.64	718.18
2025-04-24	2025-04-30	Italy	Milan	Tour Group	Family	1	4	1.0	162.88	162.88
2024-12-20	2025-01-21	UK	Manchester	Business	standard	4	1	1.0	107.84	431.35
2024-08-02	2024-09-23	Ireland	Cork	business	FAMILY	3	3	0.0	199.28	597.85
