order_datetime	city	platform	cuisine_type	delivery_distance_km	delivery_time_min	items_count	basket_value	delivery_fee	tip_amount	total_paid
2024-12-02 18:12	Dublin	Deliveroo	Burgers	1.28	24.6	5	45.94	2.0	5.62	53.56
2025-02-09 19:44	Limerick	Deliveroo	Chinese	2.73	34.0	3	37.15	2.37	0.0	39.52
2024-07-05 10:22	Belfast	UberEats	Chinese	3.93	46.3	5	42.35	2.97	4.32	49.64
2025-03-16 22:33	Galway 	JustEat	Cafe	4.13	40.8	3	31.25	3.06	0.0	34.31
2024-07-15 22:09	Dublin	Deliveroo 	Chinese	3.35	37.7	5	54.66	2.68	2.68	60.02
2025-01-12 15:46	Galway	JustEat	Pizza	4.79	48.1	3	33.46	3.39	2.18	39.03
2024-09-18 18:07	Cork	UberEats	Pizza	5.77	49.0	4	54.86	3.88		58.74
2025-02-15 10:43	Dublin	 Deliveroo	Indian	2.03	24.0	2	14.98	2.01	0.0	16.99
2025-04-03 23:30	Limerick	UberEats	Indian	1.05	29.5	2	25.83	2.0	0.0	27.83
2024-10-16 15:37	Dublin	 JustEat 	Indian	1.06	21.4	4	31.56	2.0	0.0	33.56
2025-01-08 13:22	Dublin	JustEat	Burgers	2.05	30.3	2	26.28	2.03	0.0	28.31
2024-07-24 11:29	Cork	JustEat	Chinese	5.23	33.8	2	20.1	3.61	0.0	23.71
2025-02-07 10:27	Cork	Deliveroo	Burgers	3.15	27.8	4	53.23	2.58	3.87	59.68
2025-01-27 16:57	Cork	UberEats	Indian	3.43	40.7	2	26.86	2.72	0.0	29.58
2024-12-30 22:36	Dublin	JustEat	Chinese	1.95	31.3	1	8.35	2.0	0.0	10.35
2024-08-27 10:56	Limerick	UberEats	Pizza	5.61	41.7	5	77.17	3.8	0.0	80.97
2024-05-02 17:59	 Cork	UberEats	PIZZA	5.02	39.7	5	84.25	3.51	3.45	91.21
2024-11-30 15:28	Dublin	ubereats	Sushi	2.43	37.9	2	24.46	2.21	0.0	26.67
2024-09-10 14:02	Galway	UberEats	Pizza	1.91	36.2	5	95.02	2.0	4.18	101.2
2025-04-27 21:25	Cork	 UberEats	Pizza	1.83	28.7	2	38.5	2.0	0.0	40.5
2025-01-15 16:22	Dublin	ubereats	Pizza	4.12	33.3	3	48.06	3.06	0.0	51.12
2024-06-30 20:49	 Dublin 	Deliveroo	Chinese	4.56	30.3	4	35.35	3.28	1.34	39.97
2024-10-23 10:42	Dublin 	UberEats	Thai	1.39	14.9	2	31.21	2.0	0.63	33.84
2024-06-13 14:35	Dublin	UberEats	Thai	3.7	34.6	4	51.3	2.85	1.93	56.08
2025-02-02 10:49	LIMERICK 	UberEats	PIZZA	2.95	36.9	2	26.9	2.47	0.0	29.37
2024-12-22 17:59	 Limerick	UberEats	Burgers	5.6	41.8	5	90.58	3.8	0.0	94.38
2025-02-09 20:06	Limerick	InHouse	Chinese	2.68	23.2	2	24.83	0.0	4.58	29.41
2025-02-28 18:02	Limerick	JustEat	Cafe	2.56	29.4	1	7.78	2.28	3.58	13.64
2024-10-25 11:16	Dublin	UberEats	thai	4.06	41.4	2	18.03	3.03	0.0	21.06
2024-12-26 22:14	Dublin	JustEat	Sushi	3.27	34.9	3	44.77	2.63	0.0	47.4
2025-03-24 17:19	Galway 	UberEats	Pizza	3.06	36.3	2	26.6	2.53	1.96	31.09
2025-03-31 11:20	Dublin	JustEat	Pizza	3.77	37.0	3	57.14	2.88	3.67	63.69
2025-02-14 20:35	Cork	UberEats	Pizza	1.18	34.9	1	17.94	2.0	0.0	19.94
2025-03-24 20:48	Belfast	Deliveroo	Sushi	2.3	29.7	4	84.23	2.15	0.0	86.38
2024-12-31 19:01	Dublin	Deliveroo	Chinese	0.43	25.2	1	15.9	2.0	4.75	22.65
2024-08-14 19:24	Dublin	JustEat	Indian	4.47	17.9	4	23.07	3.23		30.89
2024-11-19 17:11	Dublin	 Deliveroo	Pizza	3.32	36.1	4	67.09	2.66	0.0	69.75
2024-10-31 10:30	Dublin	InHouse	Burgers	1.89	25.0	1	5.02	0.0	4.58	9.6
2024-08-19 16:56	Galway	JustEat	Chinese	4.64	43.1	5	56.6	3.32	0.0	59.92
2024-08-14 16:34	Cork	UberEats	Pizza	3.46	32.2	1	18.32	2.73	0.0	21.05
2024-09-02 16:24	Dublin	Deliveroo	Burgers	1.78	28.9	2	28.38	2.0	0.0	30.38
2025-01-16 13:32	Cork	 Deliveroo	burgers	5.47	44.8	2	23.86	3.74	4.85	32.45
2024-08-26 14:22	dublin	UberEats	Chinese	4.14	37.5	5	50.45	3.07	0.0	53.52
2024-10-24 18:07	Galway	UberEats	Pizza	2.52	31.7	1	18.79	2.26	0.0	21.05
2024-07-04 23:12	Dublin	ubereats	Pizza	1.15	31.0	5	55.34	2.0	0.0	57.34
2024-11-10 22:24	Belfast	Deliveroo	Thai	2.76	26.8	1	10.29	2.38	0.0	12.67
2025-03-20 17:07	Dublin	UberEats	Pizza	2.96	23.1	3	36.7	2.48		39.18
2024-05-19 23:08	Dublin	Uber Eats	Sushi	1.71	22.1	5	89.85	2.0	0.0	91.85
2025-01-18 17:13	dublin	JustEat	Pizza	3.27	41.1	1	12.85	2.63	2.17	17.65
2025-02-22 22:57	Cork	Deliveroo	Indian	2.15	30.8	4	33.71	2.07	0.0	35.78
2024-10-18 15:41	Cork	UberEats	Chinese	2.78	18.2	4	56.8	2.39	0.0	59.19
2024-12-24 13:54	Cork	Uber Eats	Sushi	2.49	30.8	1	16.82	2.25	0.5	19.57
2024-08-26 23:59	Dublin	UberEats	 Thai 	0.2	33.3	3	35.45	2.0	3.35	40.8
2024-07-10 23:42	Dublin	JustEat	Chinese	1.42	17.2	1	14.66	2.0	0.0	16.66
2025-04-14 22:31	Dublin	Deliveroo	Thai	2.19	26.6	4	45.28	2.09	2.67	50.04
2025-02-21 20:55	Galway	UberEats	Cafe	3.01	25.5	4	43.9	2.5	0.0	46.4
2025-02-13 22:52	limerick	JustEat	 Pizza 	3.2	34.5	3	58.64	2.6	0.0	61.24
2024-06-01 13:59	Dublin	Deliveroo	Thai	5.44	38.6	4	58.19	3.72	2.35	64.26
2025-03-20 22:41	Dublin	UberEats	Burgers	2.69	27.1	3	24.49	2.35	0.0	26.84
2024-12-30 16:16	dublin	Deliveroo	Burgers	1.07	32.0	2	12.66	2.0	0.0	14.66
2024-08-28 19:16	Limerick	JustEat	Indian	2.25	29.9	3	40.9	2.12	0.0	43.02
2025-04-01 23:33	Dublin	deliveroo	Burgers	4.07	34.1	2	23.45	3.04	0.0	26.49
2025-01-18 16:57	cork	Deliveroo	PIZZA	5.18	46.4	3	34.46	3.59	1.85	39.9
2024-08-02 17:46	Belfast	UberEats	Pizza	4.6	39.8	4	81.71	3.3	3.84	88.85
2025-01-09 16:39	Cork	UberEats	Chinese	1.45	16.0	5	50.16	2.0	0.0	52.16
2025-04-12 11:11	BELFAST	Deliveroo	Pizza	2.15	27.9	5	36.31	2.07	0.0	38.38
2024-10-11 23:33	Dublin	UberEats	Indian	3.05	27.8	4	63.13	2.53	0.0	65.66
2025-04-22 21:00	Dublin 	InHouse	Sushi	3.84	32.1	5	51.24	0.0	3.34	54.58
2024-08-15 10:55	Dublin	ubereats	Chinese	1.01	24.7	4	21.58	2.0	3.26	26.84
2025-04-21 14:33	Cork	UberEats	Sushi	4.03	37.2	2	20.95	3.01	4.21	28.17
2025-02-10 11:40	Dublin	JustEat	SUSHI	1.86	21.2	5	59.55	2.0	0.28	61.83
2024-07-01 16:56	Galway	UberEats	Cafe	4.14	36.8	3	29.92	3.07	3.32	36.31
2024-12-20 11:29	Dublin	UBEREATS	Indian	3.79	38.0	1	10.4	2.89	0.0	13.29
2024-09-28 16:41	Belfast	 Deliveroo 	Cafe 	1.91	40.2	1	9.12	2.0	0.0	11.12
2024-09-10 20:25	Limerick	Deliveroo	chinese	3.01	25.9	1	10.16	2.51	0.0	12.67
2024-10-01 10:54	Dublin	deliveroo 	Burgers	1.84	27.2	2	19.13	2.0	3.24	24.37
2024-05-28 20:58	Cork	InHouse	Burgers	3.3	29.2	5	73.08	0.0	0.0	73.08
2024-12-18 22:29	Cork 		Thai	4.06	36.0	2	19.95	3.03	4.14	27.12
2025-02-01 22:57	Dublin	UberEats	Chinese	5.47	42.9	1	11.04	3.73	5.06	19.83
2025-02-11 22:53	Dublin	JustEat	 Burgers 	1.98	33.9	5	80.3	2.0	0.0	82.3
2024-06-08 18:03	Cork	UberEats	Thai	2.3	29.4	3	45.79	2.15	0.0	47.94
2024-07-10 20:33	Belfast	Deliveroo	Pizza	4.57	43.9	2	30.21	3.28	0.0	33.49
2024-05-23 22:41	Dublin	UberEats	Thai	7.79	53.6	1	10.39	4.89	4.37	19.65
2025-04-13 21:13	Limerick	JustEat	INDIAN	1.49	33.6	2	11.02	2.0	0.0	13.02
2024-07-04 15:13	Dublin	InHouse	Cafe	3.43	41.5	4	36.67	0.0	2.35	39.02
2024-08-22 10:14	DUBLIN	JustEat	 pizza	3.21	26.3	1	16.35	2.61	3.71	22.67
2024-10-23 17:52	GALWAY	DELIVEROO	Pizza	1.66	28.3	5	85.52	2.0	0.0	87.52
2024-10-22 12:10	DUBLIN	JustEat	indian	2.61	34.1	4	50.53	2.3	3.47	56.3
2024-10-23 23:07	Belfast	UberEats	Indian	4.8	30.0	3	29.43	3.4	3.72	36.55
2024-09-29 20:19	Galway	JustEat	Indian	4.36	31.8	3	42.28	3.18	2.01	47.47
2024-12-23 23:28	Dublin	ubereats	Indian	5.19	31.8	3	49.79	3.59	2.2	55.58
2024-09-12 13:48	Cork	Deliveroo	Cafe	3.19	33.1	2	20.81	2.6	4.54	27.95
2024-07-30 16:58	galway	Deliveroo	Indian	1.97	23.6	5	76.66	2.0	4.6	83.26
2024-10-23 20:40	dublin	Deliveroo	Cafe	1.05	26.6	1	10.69	2.0	0.0	12.69
2025-01-22 23:51	Dublin	JustEat	Burgers	3.76	38.9	5	39.18	2.88	1.84	43.9
2025-02-23 20:09	Dublin	UberEats	chinese	1.72	32.9	5	71.79	2.0	0.0	73.79
2024-06-28 14:07	Dublin	Deliveroo	pizza	3.79	26.2	1	14.38	2.89	0.82	18.09
2024-06-02 17:18	Dublin	Deliveroo	Sushi	5.09	27.4	2	23.36	3.55	5.14	32.05
2024-11-16 22:35	Cork	JustEat	Pizza	2.19	25.5	3	47.52	2.09	0.73	50.34
2024-06-27 11:23	Belfast	Deliveroo	CAFE	1.96	30.5	3	33.25	2.0	2.27	37.52
2024-12-10 21:06	Dublin	JustEat	Thai	4.81	42.4	1	12.92	3.4	0.0	16.32
2025-02-03 12:04	Limerick	JustEat	Pizza	3.45	37.1	1	12.97	2.72	0.0	15.69
2024-08-10 18:54	Belfast	UberEats	Pizza	4.1	33.3	1	13.98	3.05	2.26	19.29
2024-11-30 16:44	Dublin	UBEREATS	Sushi	4.42	48.6	5	91.83	3.21	2.78	97.82
2025-03-17 11:41	Limerick	JustEat	Pizza	3.43	36.4	3	53.15	2.71	2.59	58.45
2025-04-12 15:29	Dublin	Deliveroo	Thai	4.95	39.9	4	60.16	3.47	1.8	65.43
2025-03-07 19:13	Dublin	JustEat	Burgers	4.57	33.8	1	6.8	3.29	0.0	10.09
2024-12-01 20:01	Galway	JustEat	Thai	1.45	21.9	5	48.79	2.0	4.06	54.85
2024-08-27 23:00	Dublin	UberEats	Pizza	3.23	39.8	2	44.67	2.62	2.48	49.77
2024-09-06 14:22	Limerick	Deliveroo	Pizza	2.94	37.7	1	13.64	2.47	1.66	17.77
2024-07-02 14:09	DUBLIN	Deliveroo	Chinese	2.81	20.2	4	32.18	2.4	1.66	36.24
2025-01-09 23:56	Belfast	deliveroo	Pizza	2.94	35.3	2	21.59	2.47	3.25	27.31
2024-06-12 21:32	Galway	JustEat	Cafe	4.4	29.3	5	29.2	3.2		32.4
2024-11-10 22:05	Cork	ubereats	Cafe	3.55	37.6	2	21.05	2.77	0.0	23.82
2025-02-05 22:00	Dublin	Deliveroo	Pizza	4.86	42.6	5	65.26	3.43	1.59	70.28
2024-12-02 15:54	 Dublin	InHouse	Indian	4.61	39.3	4	42.43	0.0	0.0	42.43
2024-10-26 11:29	Cork	deliveroo	Sushi	3.63	34.5	5	132.12	2.81	1.55	136.48
2025-03-30 17:19	Dublin	Deliveroo	PIZZA	3.06	28.0	4	67.17	2.53	2.31	72.01
2024-09-29 20:14	Dublin	UberEats	 Indian 	3.79	36.3	1	8.86	2.9	0.0	11.76
2024-06-26 12:32	Limerick	UberEats	Indian	2.7	32.5	2	28.7	2.35	0.0	31.05
2025-04-21 12:38	CORK	JustEat	Cafe	1.35	28.0	5	39.11	2.0	0.0	41.11
2024-06-11 21:37	 Dublin	Deliveroo	Indian	2.54	25.8	2	23.98	2.27	3.03	29.28
2024-10-24 13:09	Cork	UberEats	Pizza	2.93	31.5	2	37.76	2.47	0.0	40.23
2024-08-11 14:30	Cork	JustEat	Chinese	2.84	32.7	3	58.02	2.42	0.0	60.44
2025-02-26 11:58	Galway	 Deliveroo 	Indian	5.09	33.8	1	9.47	3.55	0.0	13.02
2024-07-25 10:02	Limerick	UberEats	Indian	0.72	25.2	5	51.29	2.0	0.0	53.29
2024-09-07 22:19	Dublin	UberEats	Pizza	5.44	43.6	2	28.11	3.72	3.34	35.17
2024-09-07 10:36	Limerick	JustEat	Pizza	3.58	39.7	4	66.2	2.79	0.0	68.99
2024-08-11 21:11	Galway	UberEats	Indian	3.84	28.5	5	91.72	2.92	0.0	94.64
2024-06-17 22:34	Dublin	deliveroo	Cafe	0.2	26.5	5	37.47	2.0	0.0	39.47
2024-05-08 20:35	Dublin	ubereats	Chinese	0.66	15.8	4	51.99	2.0	0.0	53.99
2024-12-29 19:40	 Dublin	Deliveroo	Thai	3.88	31.4	5	50.95	2.94	3.19	57.08
2024-09-12 14:59	Cork	justeat	THAI	2.64	20.2	1	6.83	2.32	0.0	9.15
2024-10-23 12:31	Dublin	 Deliveroo 	Thai	5.38	46.1	2	19.88	3.69	5.2	28.77
2024-06-16 11:54	Dublin	UberEats	Burgers 	2.91	31.1	3	49.29	2.46	0.0	51.75
2025-04-07 19:50	Limerick	justeat	Burgers	2.21	35.5	1	8.71	2.11	0.0	10.82
2024-12-08 21:01	Limerick	Deliveroo	PIZZA	4.19	33.8	2	33.92	3.1	0.0	37.02
2025-03-16 17:07	Dublin	Uber Eats	Thai	4.55	46.7	5	64.62	3.28	2.72	70.62
2024-11-30 11:47	Galway	Deliveroo	Pizza	2.88	29.7	3	44.08	2.44	0.0	46.52
2024-06-11 22:27	Dublin	UberEats	Pizza	1.44	35.6	3	25.91	2.0	0.0	27.91
2024-09-04 13:12	Galway	Deliveroo	Chinese	0.83	19.5	5	74.13	2.0	0.0	76.13
2024-06-04 16:35	Cork		Chinese	2.17	37.2	5	65.99	2.09	0.0	68.08
2024-10-21 14:11	Dublin	Deliveroo	Chinese	2.9	36.7	4	54.33	2.45	4.88	61.66
2024-07-17 20:59	 Dublin	Deliveroo	Pizza	1.86	22.8	5	54.62	2.0	0.0	56.62
2024-07-07 23:27	Cork	UberEats	Chinese	1.54	26.6	5	35.95	2.0	2.42	40.37
2024-07-21 16:35	Dublin		 Chinese 	1.97	20.7	3	38.29	2.0	3.78	44.07
2025-01-25 13:10	Dublin	JUSTEAT	Sushi	3.0	42.0	5	108.42	2.5	0.0	110.92
2024-12-07 19:26	Dublin	UberEats	PIZZA	2.24	19.4	5	69.5	2.12	0.0	71.62
2024-07-30 21:27	BELFAST	UberEats	Indian	2.93	27.8	1	15.65	2.46	4.36	22.47
2024-11-07 14:37	Cork	ubereats	Chinese 	5.37	50.0	5	68.89	3.68	0.0	72.57
2024-06-21 14:23	Cork	UberEats	Pizza	3.74	39.4	4	54.63	2.87	0.0	57.5
2024-07-18 11:24	Dublin	UberEats	Chinese	3.59	24.0	3	30.9	2.8	0.0	33.7
2024-10-08 12:14	Dublin	UberEats	Pizza	0.2	20.7	4	64.24	2.0	0.0	66.24
2024-09-12 21:30	Limerick	JustEat	 Indian 	4.43	41.8	1	15.53	3.22	0.0	18.75
2024-07-04 18:02	Dublin	UberEats	Indian	0.2	30.2	4	27.31	2.0	2.38	31.69
2025-04-06 13:39	Dublin	JustEat	Burgers	1.95	37.0	3	10.35	2.0	0.0	12.35
2024-05-12 23:35	Dublin	JustEat	THAI	6.13	52.9	3	61.24	4.07	4.36	69.67
2024-12-31 15:34	limerick	Deliveroo	Cafe	3.39	27.6	4	44.92	2.69	0.0	47.61
2024-07-18 10:08	Limerick	InHouse	Pizza	0.9	20.7	2	21.79	0.0	0.0	21.79
2024-12-20 13:50	Dublin		Burgers	2.06	22.2	4	47.43	2.03	0.0	49.46
2024-10-24 17:50	Belfast	InHouse	pizza	2.78	31.2	3	55.03	0.0	0.0	55.03
2024-10-13 22:43	Cork	InHouse	Pizza	3.35	31.9	4	62.41	0.0		65.33
2024-08-12 21:01	Cork	Justeat	Pizza	1.91	33.8	5	81.22	2.0	0.0	83.22
2025-04-16 10:19	 Dublin 	Deliveroo	Chinese	1.04	26.0	1	12.14	2.0	3.15	17.29
2024-07-10 23:21	DUBLIN	ubereats	Cafe	1.82	24.6	2	23.53	2.0	1.66	27.19
2024-12-31 22:27	Galway	Ubereats	Cafe	4.32	44.7	1	7.32	3.16	0.0	10.48
2024-09-09 11:40	Dublin	Deliveroo	Thai	4.91	47.7	2	37.11	3.46	0.0	40.57
2024-11-13 18:35	Cork	InHouse	Chinese	0.44	34.6	5	41.41	0.0	0.79	42.2
2024-11-30 11:22	Dublin	Uber Eats	Pizza	2.69	24.5	4	59.21	2.34	1.19	62.74
2025-02-20 20:47	Cork	ubereats	Cafe	1.64	38.5	2	21.53	2.0	0.0	23.53
2025-04-29 20:10	Cork	UberEats	Burgers	1.87	31.4	4	30.97	2.0	0.0	32.97
2024-07-08 16:41	Dublin		Pizza	2.39	29.1	5	35.23	2.19	6.15	43.57
2024-09-27 21:29	Galway	JUSTEAT	Chinese	3.25	24.2	4	46.25	2.63	0.0	48.88
2024-05-26 10:45	Cork	Deliveroo	BURGERS	3.58	44.4	5	60.76	2.79	0.0	63.55
2025-03-15 21:22	Cork	UberEats	Pizza	4.58	34.8	3	30.79	3.29	5.57	39.65
2024-09-18 12:43	Limerick	deliveroo	Burgers	2.35	30.6	4	57.78	2.17	0.0	59.95
2024-12-01 19:04	Belfast	UberEats	Sushi	0.81	14.1	2	23.34	2.0	2.84	28.18
2025-02-27 23:19	Dublin	Deliveroo	Pizza	2.53	38.6	4	27.26	2.27	3.55	33.08
2024-08-18 14:51	 Dublin	UberEats	Pizza	4.82	36.9	1	12.2	3.41	0.0	15.61
2025-03-02 15:29	Dublin	deliveroo 	Pizza	3.63	36.6	1	20.92	2.81		24.84
2024-09-29 20:37	Galway	UberEats	Pizza	4.22	46.0	4	34.82	3.11	3.08	41.01
2024-06-17 17:42	Cork	UberEats	Chinese	2.59	26.5	4	26.97	2.3	2.59	31.86
2025-01-15 14:23	limerick	 UberEats	pizza	3.32	34.1	4	39.82	2.66	4.36	46.84
2025-02-11 11:11	Galway	UberEats	Burgers	4.49	39.4	1	11.24	3.24	0.46	14.94
2024-11-11 14:02	Cork	UberEats	Chinese	1.3	29.8	3	35.78	2.0	0.0	37.78
2024-08-09 16:04	Dublin	Deliveroo	Burgers	4.38	40.6	1	10.93	3.19		19.53
2025-02-10 17:32	Belfast	UberEats	Thai	3.78	32.3	3	42.89	2.89	0.0	45.78
2025-04-05 15:36	Dublin	UberEats	Cafe	3.56	33.5	2	14.42	2.78	5.64	22.84
2025-02-03 19:54	Galway	UberEats	Indian	2.44	30.4	3	31.5	2.22	3.04	36.76
2024-08-20 15:36	Dublin	JustEat	Pizza	3.29	35.3	1	10.14	2.65	0.0	12.79
2024-06-29 21:08	Dublin	UberEats	Pizza	2.62	33.5	5	69.12	2.31	0.0	71.43
2025-04-01 15:57	Belfast	UberEats	Cafe	2.69	30.6	4	41.69	2.35	0.0	44.04
2024-10-26 13:38	Dublin 	UberEats	Indian	2.12	33.5	2	26.85	2.06	0.0	28.91
2024-12-27 21:31	Dublin	JustEat	 Cafe 	3.98	41.2	4	38.65	2.99	4.31	45.95
2024-07-09 15:25	Dublin	UberEats	Sushi	3.64	43.5	2	38.39	2.82	2.69	43.9
2024-11-11 22:03	Cork	Deliveroo	Chinese	2.98	43.6	2	18.31	2.49	0.0	20.8
2025-02-12 10:02	Cork	UberEats	Pizza	2.92	25.9	2	27.43	2.46	0.0	29.89
2025-03-23 19:44	Cork	Deliveroo	Chinese	2.37	14.5	4	63.56	2.19	2.68	68.43
2024-12-22 16:13	Limerick 		Pizza	5.03	47.9	2	34.77	3.52	0.0	38.29
2025-04-17 15:52	LIMERICK	JustEat	thai	3.79	36.5	3	16.14	2.9	4.17	23.21
2025-04-23 17:40	Limerick	JustEat	Indian	3.77	40.5	5	35.8	2.88	0.0	38.68
2024-08-09 23:17	limerick	JustEat	Thai	3.95	30.2	2	26.22	2.97	0.0	29.19
2024-10-19 23:45	Dublin	UberEats	Chinese	3.32	34.5	3	39.92	2.66	3.73	46.31
2025-04-13 12:25	Dublin	UberEats	Cafe	2.38	24.4	3	22.57	2.19	0.0	24.76
2024-05-13 10:07	Cork	justeat	Indian	6.2	48.2	2	35.12	4.1	0.0	39.22
2025-01-21 13:59	Cork	UberEats	Cafe	2.17	33.3	3	9.12	2.09	5.81	17.02
2024-09-15 15:13	Limerick	UberEats	Chinese Takeaway	2.39	33.1	4	58.86	2.19	3.1	64.15
2024-12-16 18:59	Dublin	JustEat	Chinese	3.89	44.0	4	54.59	2.95	4.07	61.61
2024-05-16 23:25	Dublin	JustEat	Chinese	1.68	25.4	2	18.2	2.0	3.68	23.88
2024-06-17 23:25	Limerick	UberEats	Burgers	3.13	30.9	5	63.25	2.57	0.0	65.82
2024-09-17 21:48	Belfast	InHouse	Indian	3.36	34.5	4	55.9	0.0	0.0	55.9
2024-07-02 20:21	Cork	Deliveroo	Pizza	5.88	42.0	1	16.33	3.94	0.0	20.27
2025-01-09 18:40	Dublin		Sushi	2.04	32.5	1	23.89	2.02	0.0	25.91
2024-07-22 14:08	Cork	Just Eat	Cafe	1.49	15.9	1	11.18	2.0	0.0	13.18
2024-12-12 18:59	Dublin	Deliveroo	pizza	2.01	32.4	4	51.29	2.01	4.4	57.7
2024-11-18 12:23	 Cork	UberEats	Pizza	2.47	38.4	2	26.81	2.23	0.0	29.04
2024-09-05 19:05	Dublin	JustEat	Burgers	2.24	31.8	5	50.99	2.12	0.0	53.11
2025-03-12 19:36	GALWAY	UberEats	Thai	1.47	19.3	2	22.29	2.0	0.0	24.29
2024-06-15 23:45	Dublin	JustEat	cafe	2.58	26.3	2	18.36	2.29		24.69
2024-08-14 13:11	limerick	JustEat	Sushi	2.17	27.1	5	99.49	2.08	0.33	101.9
2024-09-06 18:56	Dublin	UberEats	 Pizza	5.17	35.7	1	11.49	3.59	0.0	15.08
2024-10-31 22:21	Dublin	UberEats 	Thai	2.98	31.3	3	32.68	2.49	0.0	35.17
2024-09-12 14:15	belfast		Thai	1.62	25.9	2	42.04	2.0	2.02	46.06
2024-05-10 13:56	Dublin	ubereats	Thai	2.99	29.2	3	44.84	2.5	4.26	51.6
2024-08-28 10:23	Dublin	UberEats	Pizza	1.86	21.4	1	18.55	2.0	3.25	23.8
2025-03-05 20:29	dublin	UberEats	Burgers	4.57	38.4	2	24.3	3.28	1.93	29.51
2024-07-05 19:48	Dublin	Deliveroo	Burgers	2.88	23.1	1	11.07	2.44	0.0	13.51
2024-10-03 18:29	Limerick	JustEat 	 Chinese	1.43	23.4	4	65.28	2.0	0.0	67.28
2025-01-23 13:42	Limerick	UberEats	Pizza	6.2	51.6	2	25.48	4.1	0.0	29.58
2024-08-26 11:00	Dublin	JustEat	Indian	3.1	24.9	3	36.12	2.55	0.0	38.67
2024-09-06 19:46	Dublin	Deliveroo	Chinese	1.61	26.4	1	12.07	2.0	1.7	15.77
2024-10-18 16:24	Galway	justeat	Burgers	0.87	25.6	4	48.62	2.0	4.84	55.46
2025-03-24 19:18	Dublin	UberEats	Burgers	2.79	22.7	5	57.7	2.4	0.0	60.1
2024-09-05 20:36	dublin	Deliveroo	Chinese	1.72	35.0	5	44.06	2.0	0.0	46.06
2025-03-19 18:25	Limerick	Deliveroo	Chinese	2.82	30.7	3	35.38	2.41	2.88	40.67
2024-07-11 16:47	Dublin		Burgers	0.52	13.2	1	5.38	2.0	0.0	7.38
2024-07-20 16:02	Galway	JustEat	Burgers	1.85	21.9	4	57.68	2.0	0.0	59.68
2025-02-18 22:35	Dublin	JustEat	Indian	2.54	33.5	2	32.14	2.27	0.0	34.41
2025-04-10 17:22	Galway	InHouse	Chinese	1.93	29.7	1	14.42	0.0	0.0	14.42
2024-08-08 22:42	Dublin	InHouse	PIZZA	3.21	26.7	2	21.55	0.0	3.71	25.26
2024-07-14 10:42	Limerick	JustEat	Cafe	0.34	22.9	1	9.35	2.0	0.0	11.35
2025-01-08 19:11	dublin	Deliveroo	Sushi	2.78	29.8	4	52.43	2.39	0.0	54.82
