order_date	country	channel	product_category	payment_method	units	unit_price	discount_rate	order_value
2025-01-10	UK		Clothing	Card	4	61.1	0.07	227.29
2024-08-20	France	Mobile App	Clothing	Card	3	37.09	0.0	111.28
2024-07-02	UK	web	Clothing	Card	1	59.45	0.002	59.32
2024-05-21	germany	Mobile App	Electronics	Card	2	211.13	0.0	422.25
2024-11-30	Ireland	mobile	Groceries		5	11.26	0.106	50.33
2025-03-16	France	Web	Electronics	Card	3	345.06	0.0	1035.18
2024-11-25	France	Web	Home	Card	1	61.93	0.027	60.26
2024-08-09	Ireland	Web	Groceries	Card	1	14.84	0.028	14.43
2024-11-13	Ireland	Web	Groceries	Card	3	15.24	0.0	45.71
2024-12-18	Germany	Web	Books	Card	2	21.59	0.071	40.14
2025-03-17	Germany	Store Kiosk	Books	PayPal	5	19.49	0.071	90.57
2024-06-27	UK		Groceries	Credit Card	2	12.26	0.018	24.07
2024-08-01	Ireland	Web	Books	Voucher	2	14.07	0.034	27.19
2024-07-20	Germany	Web	Home	Cash	1	110.34	0.0	110.34
2024-09-26	UK	Web	Electronics	Card	5	269.22	0.0	1346.1
2024-09-15	Ireland	Web	Books	Card	3	19.03	0.072	52.99
2025-04-06	Ireland	Mobile App	Home	Card	5	66.48	0.0	332.38
2025-01-13	UK	Web	Home	PayPal	2	107.04	0.036	206.28
2024-07-30	 UK	Web	Home	PayPal	3	82.2	0.0	246.6
2024-06-10	Ireland	 Web	Clothing	PayPal	2	32.23	0.0	64.46
2025-03-19	Ireland	Mobile App	Groceries	 Cash 	4	13.41	0.0	53.65
2025-03-14	Ireland	web	Groceries	Card	4	14.28	0.0	57.11
2024-09-12	UK	 Web 	Home	PAYPAL	1	81.74	0.048	77.83
2025-01-30	Spain	Web	 Books	Card	5	21.15	0.076	97.7
2024-09-25	Ireland	Web	Books	PayPal	5	25.96	0.093	117.72
2024-12-01	ireland	Web	Groceries	Voucher	3	18.1	0.079	49.99
2025-04-25	Ireland	Web	groceries	Card	1	13.34	0.0	13.34
2024-10-30	Germany	Web	Clothing	Card	2	44.21	0.0	88.42
2024-10-25	Uk	Mobile App	Groceries	Card	5	13.28	0.0	66.41
2025-01-22	Ireland	Mobile App	Books 	Card	1	26.93	0.0	26.93
2024-09-24	Ireland	Web	Clothing	Card	2	59.8	0.075	110.61
2024-12-23	Germany	Mobile App	Electronics	Card	1	230.94	0.058	217.54
2024-07-11	Germany	Mobile App	Clothing	PayPal	5	44.71	0.079	205.97
2024-07-06	France	Mobile App	Groceries	Card	2	11.43	0.0	22.85
2024-10-31	Ireland	Store Kiosk	Groceries	 Card 	1	10.62	0.056	10.03
2025-01-07	Ireland	Web	Clothing	Cash	5	57.6	0.1	259.27
2024-12-06	Ireland	Web	Groceries	PayPal	2	10.52	0.0	21.04
2024-10-23	Ireland	Web	Books	PayPal	2	25.94	0.0	51.88
2024-08-27	Ireland	Mobile App	Groceries	PayPal	4	14.71	0.013	58.05
2024-09-03	UK	Web	Groceries	Voucher	5	20.33	0.015	100.17
2024-12-24	Spain	Web	Clothing	Card	4	23.91	0.0	95.64
2025-01-28	 Ireland	Web	Groceries	PayPal	2	20.18	0.049	38.38
2024-11-13	GERMANY 	Web	Home	PayPal 	4	78.89	0.0	315.55
2024-05-17	France	Store Kiosk	Clothing	Card	5	60.18	0.041	288.71
2024-05-09	UK 	WEB	Clothing	PayPal 	1	54.08	0.0	54.08
2024-05-13	Germany	Mobile App	Electronics	 Card 	2	283.6	0.013	559.89
2025-04-19	Ireland	Web	Electronics	Card	2	369.11	0.05	701.2
2024-11-12	Germany	Web	Groceries	Cash	3	13.76	0.052	39.15
2024-11-23	Ireland	Mobile App	Groceries	Card	2	17.43	0.038	33.53
2024-07-25	UK	Web	Books	Card	2	20.1	0.0	40.21
2025-03-16	France	Store Kiosk	Groceries	Card	5	15.1	0.025	73.59
2025-04-15	 Ireland 	Mobile App	Clothing	Card	4	48.53	0.103	174.21
2024-12-19	Ireland		Groceries	Card	5	13.22	0.0	66.11
2025-02-16	Ireland	Web	Groceries	CARD	1	17.17	0.016	16.9
2024-12-20	Ireland	Web	Groceries	PAYPAL	4	14.55	0.048	55.43
2024-09-07	Spain	Mobile App	Home	Voucher	3	77.77	0.0	233.31
2025-02-14	Germany	web	Home	Card	5	99.0	0.037	476.83
2024-09-17	UK	Mobile App	Electronics	Card	5	380.25	0.028	1847.25
2025-01-08	France	Mobile App	Groceries	Card	3	10.49	0.061	29.54
2024-12-16	Ireland	Web	Books	Card	3	20.3	0.065	56.95
2024-09-05	UK	Store Kiosk	Clothing	CARD	2	42.19	0.0	84.38
2024-10-21	Ireland	Mobile App	clothing	Card 	3	40.04	0.035	115.9
2024-10-04	UK	Mobile App	Clothing	Card	1	38.14	0.024	37.22
2025-02-07	Ireland	Web	home	Card	4	64.01	0.079	235.92
2024-05-26	Ireland	Mobile App	Groceriess	Card	5	11.97	0.0	59.83
2024-10-08	UK	Web	Books	card	3	15.97	0.079	44.14
2024-05-29	Ireland	Web	Clothing	Credit Card	5	25.82	0.038	124.16
2024-05-24	Ireland	Web	Books	Card	5	9.7	0.0	48.49
2025-01-10	IRELAND	Mobile App	electronics	Cash	2	342.5	0.0	685.0
2024-06-27	 Spain 	Mobile App	Clothing	Card	3	39.5	0.0	118.5
2024-12-23	FRANCE	Mobile App	Groceries	Card	2	15.22	0.0	30.43
2025-04-30	France	Web	Groceries	PayPal	5	14.24	0.072	66.11
2024-09-08	Ireland	Mobile App	Groceries	PayPal	4	7.73	0.0	30.91
2025-01-02	Ireland	Web	Home	Card	1	66.02	0.02	64.68
2025-02-28	Germany	web	Clothing	Card	4	58.94	0.0	235.76
2024-10-21	Germany	Mobile App	Groceries	Card	3	19.08	0.0	57.25
2025-02-01	ireland	Mobile App	Home	Card	5	80.03	0.008	397.05
2024-07-06	Spain		Books	Voucher	3	14.84	0.007	44.21
2024-07-20	Germany	Mobile App	Home	Card	1	70.23	0.0	70.23
2025-03-03	France	Web	books	Card	5	19.47	0.0	97.36
2025-02-22	Ireland	Web 	Clothing	Card	2	46.35	0.0	92.71
2024-12-15	Ireland	Web	Clothing	PayPal	5	41.42	0.061	194.49
2024-07-06	Ireland	mobile	Clothing	Cash	4	42.09	0.053	159.45
2025-02-03	uk	Web	BOOKS	Card	3	19.88	0.0	59.65
2024-09-14	Ireland	Web	Home	 Card 	2	63.4	0.034	122.44
2025-04-02	UK	Mobile App	Electronics	Cash	1	288.6	0.063	270.42
2024-05-06	Ireland	mobile	 Groceries	PayPal	1	14.0	0.058	13.2
2024-10-25	Germany	MOBILE APP	Groceries	Voucher	3	10.19	0.0	30.57
2024-11-19	Ireland	Store Kiosk	Home	Card	4	92.55	0.068	345.08
2024-08-18	Germany	Web	Groceriess	Cash	3	14.14	0.095	38.38
2025-04-24	Spain	Web	Electronics	Card	4	298.08	0.085	1090.44
2024-08-12	Spain	Web	Clothing	PayPal	4	38.91	0.055	147.09
2025-04-28	France 	Web	Electronics	PayPal	5	339.35	0.071	1576.22
2025-04-01	Ireland	Store Kiosk	Home	Cash	3	69.32	0.0	207.96
2025-04-05	UK	Web	Electronics	Cash	3	319.06	0.029	929.02
2025-01-02	UK	Mobile App	groceries	PayPal	4	16.94	0.0	67.78
2024-11-16	uk	Web	Electronics	Card	1	388.33	0.034	375.26
2024-07-05	Germany	Store Kiosk	Clothing 	PayPal	4	38.26	0.01	151.52
2024-05-31	UK	Web	Groceries	Card	1	12.07	0.0	12.07
2025-02-06	Ireland	Web	 clothing 	Card	3	48.6	0.0	145.81
2024-06-03	Ireland	Web	Clothing	Card	3	46.45	0.112	123.7
2024-06-10	UK	Mobile App	Books	Cash	2	16.63	0.065	31.12
2024-09-02	UK	Website	Electronics	cash	4	302.4	0.05	1149.13
2025-02-19	UK	Store Kiosk	Groceries	Card	4	17.15	0.102	61.6
2025-04-07	Ireland	Web	books	Voucher	2	23.53	0.0	47.06
2024-09-16	Germany	Web	Clothing	Credit Card	5	57.91	0.0	289.55
2024-12-17	UK	Mobile App	Clothing	Card	4	46.58	0.061	174.87
2025-02-15	Germany	Web	Clothing	Card	2	44.2	0.0	88.4
2024-11-07	France	Web	Groceries	CARD	5	10.79	0.066	50.43
2025-01-10	Germany	Mobile App	Books	Card	4	18.56	0.0	74.24
2025-01-31	Germany	Web	Electronics	Cash 	1	361.7	0.0	361.7
2024-09-05	UK 	Web	Electronics	card	2	240.01	0.0	480.03
2025-03-26	UK	Web	Books	Card	2	20.97	0.072	38.91
2025-01-27	UK	Mobile App	Electronics	Card	3	274.84	0.077	761.01
2024-12-15	ireland	Web	clothing	Card	4	51.03	0.12	179.68
2024-08-07	UK	Mobile App	Electronics	PayPal	3	250.02	0.07	697.57
2024-05-11	france	Web	 Books	card	4	23.47	0.0	93.88
2025-04-28	 uk	Web	Groceries	CARD	2	13.38	0.01	26.5
2025-04-29	UK	WEB	Clothing	Voucher	1	42.36	0.0	42.36
2024-07-19	Spain	Web	Clothing	 Card	2	47.36	0.0	94.71
2025-01-18	Germany	Web	ELECTRONICS	Cash	1	365.72	0.0	365.72
2024-11-01	UK 	Mobile App	Electronics	PayPal	1	186.67	0.025	182.03
2024-10-08	Ireland	Web	 Electronics 	Cash	4	323.24	0.037	1244.89
2024-07-13	UK	Web	Groceries 	Card 	2	16.61	0.056	31.36
2024-08-22	France	Store Kiosk	Clothing	PayPal	3	56.9	0.052	161.8
2025-01-29	Ireland	 Mobile App 	Home	Voucher	5	81.74	0.069	380.31
2024-09-14	France	Mobile App 	Electronics	Voucher	1	268.44	0.056	253.41
2024-11-26	Ireland	Web	Books	 PayPal	5	22.2	0.082	101.92
2024-08-28	UK	Store Kiosk	Groceries	PayPal	5	9.26	0.075	42.82
2024-11-18	UK	Mobile App	Books	Card	5	15.62	0.02	76.59
2025-03-14	Ireland	Mobile App	Home	Card	2	78.9	0.051	149.78
2025-01-05	France	 Store Kiosk 	Electronics	PayPal	1	234.8	0.092	213.18
2024-08-27	Spain	Mobile App	Electronics	Cash	3	246.84	0.062	694.87
2024-08-02	Ireland	Web	 Clothing 	Card	5	45.96	0.112	204.04
2024-07-28	Ireland	Web	Clothing	PayPal	4	68.42	0.073	253.6
2024-05-30	Ireland	Mobile App	 Electronics	Card	2	300.02	0.031	581.19
2024-11-18	UK	Mobile App	Books	Card	2	13.86	0.0	27.71
2024-10-06	france	WEB	Groceries	Card	5	12.92	0.03	62.63
2025-03-23	Germany	Web	Groceries	Card	4	18.91	0.0	75.65
2024-12-19	UK	Web 	Electronics	card	4	238.96	0.072	887.39
2025-03-28	Ireland	Store Kiosk	Clothing	Credit Card	4	44.68	0.094	161.9
2025-03-28	Ireland	Web	Home	Card	3	60.57	0.02	178.05
2024-07-27	Ireland	Mobile App	Clothing	Cash	5	48.03	0.083	220.25
2025-02-07	UK	Mobile App	Groceries	Card	2	14.73	0.075	27.25
2025-01-23	Ireland	Web	Electronics	Card	3	284.79	0.045	816.28
2025-04-14	Germany	Mobile App	Home	PayPal	2	79.06	0.0	158.11
2024-05-09	UK	Web	electronics	Card	4	272.55	0.051	1035.0
2025-04-24	UK	Mobile App	Home	CARD	4	51.7	0.064	193.5
2025-01-26	UK		Groceries	Card	2	14.96	0.0	29.93
2024-10-22	Ireland 	Mobile App	Clothing	Paypal	4	59.16	0.014	233.35
2025-02-05	Ireland	Mobile App	Books	Credit Card	1	24.64	0.0	24.63
2024-09-21	UK	Store Kiosk	Electronics	PAYPAL	4	377.44	0.061	1418.31
2024-09-06	UK	Web	Home		5	71.52	0.012	353.33
2025-04-05	Ireland	Web	Home	Card	3	87.42	0.028	254.83
2024-05-13	Ireland	Web	Clothing	 Card	4	30.75	0.0	123.01
2025-02-24	Ireland	Store Kiosk	Electronics	PayPal	2	320.0	0.0	640.0
2024-07-28	ireland	Web	Clothing	 Card 	4	57.71	0.0	230.85
2024-08-28	UK	Web	Electronics	PayPal	1	374.84	0.034	361.97
2024-11-21	uk	Mobile App	Electronics	Card	2	201.95	0.0	403.91
2024-09-08	Germany	 Web 	Clothing	Voucher	3	44.08	0.0	132.24
2024-09-14	Spain	Mobile App	Groceries	PayPal	4	14.65	0.035	56.53
2024-05-16	France	Web	Clothing	Card	2	52.92	0.091	96.18
2024-10-01	 UK	Mobile App	Groceries	PayPal	4	14.87	0.054	56.29
2024-08-13	UK	Web	Electronics	Card	3	376.92	0.035	1091.31
2025-04-28	SPAIN	Web	Home	PayPal	3	70.4	0.0	211.2
2024-09-15	France	Web	Clothing	Card	1	40.84	0.029	39.66
2024-06-14	UK	Store Kiosk	Electronics	Card	5	323.83	0.047	1543.36
2024-07-17	Spain	Web	Groceries	Card	3	11.65	0.085	32.0
2025-01-18	UK	Mobile App	Groceries	Card	1	19.55	0.0	19.55
2024-07-01	Ireland	Web	Home	Card	4	99.42	0.0	397.67
2024-05-02	France		Electronics	PayPal	4	287.31	0.067	1071.86
2024-12-19	 UK	Web	Clothing	card	1	49.91	0.0	49.91
2024-10-06	 UK	Store Kiosk	Books	Card	2	20.15	0.028	39.18
2024-12-30	Germany	Mobile App	books	Paypal	1	24.34	0.0	24.34
2024-10-13	Ireland 	Web	Clothing	PAYPAL	3	32.62	0.066	91.36
2024-11-02	France	Web	Groceries	Card	4	18.42	0.04	70.72
2024-08-28	 Ireland	Mobile App	Electronics	Card	4	345.16	0.0	1380.65
2025-04-08	Ireland	mobile	Clothing	Card	1	48.64	0.05	46.23
2025-02-10	France	Mobile App	Clothing	Card	3	40.32	0.008	120.03
2024-06-17	Spain	Web	Clothing	Card	4	68.62	0.028	266.82
2024-11-01	UK	Mobile App	Clothing	Card	2	39.46	0.0	78.92
2024-09-18	Germany	Web	Books	Card 	2	21.01	0.0	42.03
2025-04-28	Germany	Web	Electronics	PayPal	1	301.69	0.107	269.42
2024-10-02	Ireland 	Web	Electronics	Card	5	278.61	0.056	1315.19
2025-03-04	germany	Mobile App	Home	 Card	2	77.6	0.043	148.51
2024-07-15	Ireland	mobile app 	Home	PayPal	5	90.6	0.055	428.11
2024-09-30	ireland	mobile	Electronics	PayPal	2	321.13	0.053	608.54
2024-09-29	Ireland	Web	Electronics	Card	5	399.2	0.009	1978.75
2025-03-23	Spain	Mobile App	BOOKS	PayPal	1	23.34	0.036	22.49
2024-12-31	france	Mobile App	Clothing	Card	4	36.99	0.092	134.32
2024-08-22	Spain	Store Kiosk	electronics		3	218.29	0.036	631.19
2024-11-16	Ireland	Mobile App	Electronics	Card	3	292.18	0.0	876.54
2024-08-14	ireland	Web	Books	PayPal	1	22.22	0.075	20.54
2024-11-01	France	Web	Clothing	Card	3	65.75	0.032	191.03
2024-06-10	UK	Web	 Electronics 	Voucher	4	249.08	0.034	962.9
2025-01-13	UK	Web	Clothing	Card	5	35.61	0.0	178.04
2024-08-23	ireland	Web	Home	Credit Card	5	95.47	0.04	458.33
2024-09-24	Ireland	WEB	clothing	Paypal	3	66.64	0.0	199.92
2024-09-07	UK	Web	Clothing	CARD	5	54.26	0.0	271.3
2025-02-08	 France	Web	Home	Card	1	93.42	0.013	92.23
2024-07-03	Ireland	Web	Clothing	Card	5	68.67	0.0	343.36
2024-11-19	UK	Web	Home	Card	1	87.15	0.051	82.74
2024-10-26	Ireland	 Mobile App	Books	Card	4	20.96	0.073	77.77
2024-12-24	Germany	 Mobile App 	Home 	Card	2	91.41	0.0	182.82
2024-12-10	Ireland	WEB	Groceries	Card	2	14.24	0.067	26.59
2024-08-23	FRANCE	Web 	Home	Voucher	2	110.06	0.005	219.09
2024-05-06	Ireland 	Web	CLOTHING 	Card	3	58.24	0.017	171.71
2025-04-29	Ireland	Web	Books	PAYPAL	5	17.89	0.0	89.46
2025-03-18	Ireland	Web	Books	Card	2	17.67	0.071	32.84
2025-03-12	UK	Store Kiosk	Groceries	PayPal	1	12.72	0.0	12.72
2025-04-06	Germany	Web	Home	CASH	3	83.01	0.039	239.43
2024-10-01	Ireland	web	electronics	Cash	3	375.7	0.085	1031.05
2024-07-19	Ireland		electronics	Card	1	285.73	0.128	249.26
2025-01-03	FRANCE	Web	Electronics	PayPal	1	227.59	0.0	227.59
2025-03-06	Ireland	Web	Electronics 	card	1	373.35	0.0	373.35
2025-04-17	ireland	Web	Home	paypal	3	92.23	0.009	274.18
2024-07-02	UK	Store Kiosk	Books	Card	3	14.67	0.028	42.78
2024-05-03	UK 	Web	Electronics 		3	290.37	0.081	800.39
2024-07-01	U.K.	Store Kiosk	Books	PayPal	5	17.19	0.0	85.96
2025-03-30	Ireland	Mobile App	Home	Voucher	5	93.41	0.062	437.98
2024-11-12	Ireland	Mobile App	Clothing	PayPal	4	40.93	0.039	157.32
2024-07-21	Ireland	Mobile App	Books	PayPal	3	14.27	0.061	40.2
2024-06-30	 Ireland	Web	Clothing	Card	1	31.2	0.062	29.26
2025-02-05	Germany	Web	Home	PayPal	3	83.09	0.0	249.27
2025-01-15	UK	Web	Clothing	Card	4	67.46	0.006	268.18
2024-07-22	France	Store Kiosk	Books	Cash	1	19.44	0.0	19.44
2024-07-23	Ireland	Mobile App	Books	Cash	1	12.7	0.037	12.24
2025-02-23	Germany	Mobile App	Electronics	Voucher	5	315.66	0.028	1533.76
2024-12-13	UK	Store Kiosk	Groceries	Credit Card	5	11.38	0.0	56.89
2024-09-05	Ireland	Web	Home	PayPal	2	77.96	0.094	141.3
2024-10-13	Ireland	Store Kiosk	Clothing		5	45.69	0.022	223.37
2024-06-22	UK	Mobile App	Home	Card	2	65.36	0.034	126.33
2024-12-08	Ireland	Mobile App	Books	PayPal	4	20.64	0.0	82.57
2024-08-12	UK	 Web 	Electronics	Card	2	409.4	0.069	762.46
2024-06-10	Ireland	Web	Electronics	Card	1	315.47	0.05	299.73
2024-06-25	Spain	mobile app	Home	Card	4	87.98	0.026	342.79
2024-05-29	Germany	 Mobile App 	Clothing	Card	3	61.32	0.091	167.25
2024-07-09	Ireland	WEB	Home	Card	2	71.87	0.017	141.34
2025-02-14	Spain	Mobile App	Books	Card	3	20.34	0.06	57.33
2024-10-27	France	WEB	Electronics	Card	2	278.08	0.04	533.92
2025-03-06	Ireland		Electronics	Voucher	1	395.4	0.0	395.4
2024-06-04	Ireland		Books	Card	2	19.09	0.055	36.1
2024-08-02	Ireland	Mobile App	clothing	Card	4	45.67	0.0	182.68
2024-12-07	Ireland	Mobile App	Clothing	card	2	33.56	0.0	67.12
2024-08-27	Ireland	Web	 Groceries	Card	2	15.56	0.0	31.13
2025-04-14	France	Web	Groceries	Card	4	15.9	0.042	60.91
2024-08-19	Spain	Mobile App	Home	Card	3	90.72	0.073	252.32
2024-07-02	Ireland	MOBILE APP	Home	Card	5	71.05	0.019	348.39
2024-07-05	UK 	Mobile App 	Groceries	Card	2	10.1	0.057	19.05
2024-06-23	Germany	Store Kiosk	Electronics	PayPal	1	357.86	0.059	336.61
2024-10-18	Ireland	Web	Electronics	Cash	5	215.4	0.046	1026.93
2025-02-09	Spain	Mobile App	Groceries	Card	2	14.74	0.017	28.97
2024-09-02	UK	Mobile App	Home	Card	5	62.43	0.0	312.15
2025-01-04	Ireland	Web	electronics	Credit Card	3	313.16	0.044	897.82
2024-06-07	UK	Web	clothing	Cash	2	38.19	0.0	76.38
2025-04-11	 UK	Web	Electronics	Card	3	401.04	0.04	1155.57
2024-12-11	Germany	Web	Clothing	PayPal	4	52.17	0.045	199.23
2024-05-28	Ireland	Mobile App	Groceries	 Card 	1	17.41	0.0	17.41
2024-09-21	Ireland	Web	 Home	Card	3	76.33	0.0	229.0
2025-04-19	Spain	 Web	Electronics	PayPal	4	377.95	0.07	1405.92
2025-02-27	Germany	Store Kiosk	Electronics	card	2	223.23	0.082	409.64
2024-11-06	UK	MOBILE APP	Clothing	Card	4	52.2	0.01	206.64
2025-04-23	Ireland	web	Electronics	Cash	5	397.87	0.006	1976.6
2025-01-06	UK	Mobile App	Groceries	Card	2	12.76	0.074	23.64
2024-12-30	France	Web	grocery	Credit Card	3	18.07	0.059	50.99
2024-05-08	Ireland	STORE KIOSK	Groceries	PayPal	4	15.06	0.098	54.32
2025-02-12	 Ireland	Web	Books	Card	2	27.47	0.0	54.94
2024-05-13	UK	Web	Groceries	Card	5	20.8	0.0	104.02
2024-12-03	France	Web	BOOKS	Card	4	11.7	0.0	46.79
2024-05-11	France	Mobile App	Electronics	Card	5	408.34	0.0	2041.68
2025-04-18	UK	Mobile App	Groceries	Card	4	16.09	0.073	59.68
2025-02-13	Ireland	Web	Clothing	Cash	4	48.58	0.026	189.35
2024-06-09	 Ireland	Web	HOME	Card	2	96.55	0.081	177.47
2024-11-30	UK	Web	Electronics	Card	4	301.51	0.076	1114.01
2024-06-13	Ireland	Web	 Electronics 	Card	2	225.97	0.049	429.83
2024-07-09	UK	 Store Kiosk 	Groceries	Card	4	16.74	0.064	62.66
2024-08-24	Spain	web	Electronics	Card	3	267.09	0.009	793.71
2025-04-13	France	web	Electronics	Voucher	2	380.83	0.0	761.67
2025-02-10	ireland	Mobile App	Groceries	PayPal	1	7.89	0.0	7.89
2024-07-03	UK	web	Electronics	PayPal	1	349.72	0.0	349.72
2025-02-11	Ireland	Mobile App	Electronics	PayPal	4	335.27	0.06	1260.48
2025-02-18	France	 Web 	Books	Cash	4	22.45	0.091	81.63
2024-05-30	UK	Mobile App	Clothing	Card	3	39.27	0.035	113.71
2024-06-09	UK	Web	Home	Voucher	5	71.11	0.028	345.75
2024-05-09	Germany	Mobile App	Books	Card	4	21.31	0.05	81.0
2025-01-19	Germany	Web	Electronics	Card	3	344.99	0.053	980.18
2024-07-17	France	 Mobile App 	Electronics	Paypal	3	331.48	0.027	967.91
2024-09-29	Germany	web	Home	Cash	5	75.62	0.054	357.85
2024-07-30	France	WEB	Electronics	Card	3	375.7	0.006	1120.75
2024-06-17	uk	Web	Groceries	Card	3	16.83	0.0	50.48
2024-09-16	Germany 	Web	Home	Card	5	68.3	0.025	333.12
2024-07-12	France	Web	electronics	cash	4	268.07	0.0	1072.28
2024-09-07	 germany 	Web	Groceries	Card	4	10.79	0.078	39.8
2025-02-01	Ireland	Web	Electronics	Card	1	329.59	0.0	329.59
2025-01-31	France 	 Store Kiosk	Electronics	Card	3	262.72	0.027	767.16
2024-10-17	Ireland	STORE KIOSK	Electronics	Card	3	295.85	0.062	832.09
2024-05-03	Ireland	Web	Clothing	Card	1	35.25	0.02	34.55
2025-01-16	UK	Web	groceries	PayPal	1	19.46	0.079	17.93
2024-05-31	 UK 	Mobile App	Electronics	Card	5	304.92	0.001	1523.19
2024-06-12	Ireland	Web 	Electronics	Card	4	327.71	0.037	1262.53
2025-03-15	Germany	Web	Electronics	Card	3	322.14	0.018	949.39
2024-06-04	UK	Store Kiosk 	Groceries	PayPal	2	13.16	0.04	25.27
2024-07-27	Germany	Web	Clothing	Card	1	38.24	0.0	38.24
